CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 1.671875 1712632712.4655
MEM 15.402344 1712632712.5658
MEM 23.867188 1712632712.6660
MEM 29.011719 1712632712.7663
MEM 35.789062 1712632712.8669
MEM 39.140625 1712632712.9672
MEM 43.785156 1712632713.0677
MEM 49.664062 1712632713.1679
MEM 50.402344 1712632713.2683
MEM 50.765625 1712632713.3688
MEM 50.992188 1712632713.4696
MEM 51.136719 1712632713.5702
MEM 51.550781 1712632713.6708
MEM 51.960938 1712632713.7714
MEM 52.332031 1712632713.8718
MEM 52.546875 1712632713.9720
MEM 52.734375 1712632714.0722
MEM 53.312500 1712632714.1727
MEM 53.542969 1712632714.2731
MEM 53.730469 1712632714.3732
MEM 53.726562 1712632714.4738
MEM 53.960938 1712632714.5741
MEM 54.375000 1712632714.6743
MEM 54.609375 1712632714.7748
MEM 54.402344 1712632714.8752
MEM 54.589844 1712632714.9757
MEM 55.593750 1712632715.0762
MEM 55.019531 1712632715.1767
MEM 55.320312 1712632715.2770
MEM 55.410156 1712632715.3771
MEM 55.644531 1712632715.4775
MEM 55.878906 1712632715.5777
MEM 56.136719 1712632715.6783
MEM 56.417969 1712632715.7789
MEM 56.660156 1712632715.8792
MEM 56.882812 1712632715.9796
MEM 57.050781 1712632716.0800
MEM 57.351562 1712632716.1805
MEM 57.519531 1712632716.2807
MEM 57.753906 1712632716.3812
MEM 57.976562 1712632716.4818
MEM 58.144531 1712632716.5823
MEM 58.441406 1712632716.6826
MEM 58.605469 1712632716.7829
MEM 58.835938 1712632716.8831
MEM 59.074219 1712632716.9838
MEM 59.312500 1712632717.0840
MEM 59.542969 1712632717.1845
MEM 59.773438 1712632717.2851
MEM 60.007812 1712632717.3856
MEM 60.246094 1712632717.4858
MEM 60.484375 1712632717.5864
MEM 60.710938 1712632717.6955
MEM 60.867188 1712632717.7963
MEM 61.101562 1712632717.8969
MEM 61.335938 1712632717.9972
MEM 61.574219 1712632718.0975
MEM 61.800781 1712632718.1979
MEM 62.035156 1712632718.2984
MEM 62.269531 1712632718.3990
MEM 62.437500 1712632718.4993
MEM 62.667969 1712632718.5996
