CMDLINE C:\Users\drako\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 1.742188 1712985466.1138
MEM 13.894531 1712985466.2141
MEM 19.882812 1712985466.3146
MEM 26.093750 1712985466.4155
MEM 30.914062 1712985466.5160
MEM 34.042969 1712985466.6169
MEM 37.816406 1712985466.7177
MEM 42.996094 1712985466.8184
MEM 47.261719 1712985466.9192
MEM 49.757812 1712985467.0199
MEM 50.296875 1712985467.1205
MEM 50.671875 1712985467.2208
MEM 51.000000 1712985467.3213
MEM 51.347656 1712985467.4219
MEM 51.644531 1712985467.5226
MEM 52.050781 1712985467.6232
MEM 52.441406 1712985467.7237
MEM 52.726562 1712985467.8242
MEM 53.367188 1712985467.9249
MEM 53.605469 1712985468.0253
MEM 53.839844 1712985468.1262
MEM 54.078125 1712985468.2269
MEM 53.925781 1712985468.3326
MEM 53.714844 1712985468.4331
MEM 53.957031 1712985468.5337
MEM 54.875000 1712985468.6343
MEM 55.035156 1712985468.7348
MEM 54.777344 1712985468.8354
MEM 55.027344 1712985468.9364
MEM 55.925781 1712985469.0370
MEM 56.082031 1712985469.1375
MEM 56.242188 1712985469.2379
MEM 55.601562 1712985469.3381
MEM 55.828125 1712985469.4390
MEM 55.980469 1712985469.5395
MEM 56.144531 1712985469.6400
MEM 56.367188 1712985469.7403
MEM 56.609375 1712985469.8411
MEM 56.835938 1712985469.9416
MEM 57.074219 1712985470.0418
MEM 57.320312 1712985470.1421
MEM 57.617188 1712985470.2429
MEM 57.863281 1712985470.3433
MEM 58.175781 1712985470.4441
MEM 58.488281 1712985470.5447
MEM 58.796875 1712985470.6454
MEM 59.031250 1712985470.7459
MEM 59.179688 1712985470.8465
MEM 59.417969 1712985470.9471
MEM 59.632812 1712985471.0473
MEM 59.890625 1712985471.1478
MEM 60.125000 1712985471.2485
MEM 60.429688 1712985471.3493
MEM 60.667969 1712985471.4497
MEM 60.832031 1712985471.5502
MEM 61.062500 1712985471.6509
MEM 61.292969 1712985471.7515
MEM 61.609375 1712985471.8520
MEM 61.843750 1712985471.9524
MEM 62.066406 1712985472.0531
MEM 62.308594 1712985472.1539
MEM 62.535156 1712985472.2545
MEM 62.691406 1712985472.3549
MEM 63.007812 1712985472.4556
MEM 63.246094 1712985472.5561
MEM 63.476562 1712985472.6569
MEM 63.707031 1712985472.7573
MEM 63.945312 1712985472.8577
MEM 64.109375 1712985472.9584
MEM 64.335938 1712985473.0593
MEM 64.496094 1712985473.1597
MEM 64.800781 1712985473.2598
MEM 65.042969 1712985473.3602
MEM 65.351562 1712985473.4607
MEM 65.582031 1712985473.5613
MEM 65.742188 1712985473.6621
MEM 65.972656 1712985473.7626
MEM 66.210938 1712985473.8629
MEM 66.441406 1712985473.9636
MEM 66.601562 1712985474.0641
MEM 66.839844 1712985474.1645
MEM 67.066406 1712985474.2651
